phone,androidBulletinDate,cadence,endOfLife,spVersion,screenId,comments,cadenceComments,dateOfFirstLiveRelease
Nokia 3.2,2021-01-01,Monthly,Apr-22,Jan-21,00WW_2_310_SP07,SP Only (Android 10),,"January 26, 2021"
Nokia 3.1,2021-01-01,Monthly,Jul-21,Jan-21,00WW_4_160_SP04,SP Only (Android 10),,"January 25, 2021"
Nokia 9 Pureview,2021-01-01,Monthly,Mar-22,Jan-21,00WW_5_26A_SP03,SP Only (Android 10),,"January 25, 2021"
Nokia 5.1,2021-01-01,Monthly,Aug-21,Jan-21,00WW_4_160_SP04,SP Only (Android 10),,"January 25, 2021"
Nokia 8.1,2021-01-01,Monthly,Dec-21,Jan-21,00WW_4_31A_SP03,SP Only (Android 10),,"January 22, 2021"
Nokia 7 Plus,2021-01-01,Monthly,Apr-21,Jan-21,00WW_4 _15D_SP08,SP Only (Android 10),,"January 21, 2021"
Nokia 6.1 Plus,2021-01-01,Monthly,Aug-21,Jan-21,00WW_4 _15C_SP08,SP Only (Android 10),,"January 21, 2021"
Nokia 6.1,2021-01-01,Monthly,Apr-21,Jan-21,00WW_4 _15C_SP08,SP Only (Android 10),,"January 21, 2021"
Nokia 1.3,2021-01-01,Monthly,Jun-23,Jan-21,00WW_1_200_SP01 ,SP Only (Android 10 GO),Monthly to Quarterly SPs after Jun-22,"January 20, 2021"
Nokia 1.3,2021-01-01,Monthly,Jun-23,Jan-21,00WW_1_180_SP03,SP Only (Android 10 GO),Monthly to Quarterly SPs after Jun-22,"January 20, 2021"
Nokia 2.1,2020-12-01,Quarterly,Aug-21,Dec-20,00WW_4_11F,MR Update and SP (Android 10 GO),,"January 20, 2021"
Nokia 8 Sirocco,2021-01-01,Monthly,May-21,Jan-21,00WW_5_140_SP06,SP Only (Android 10),,"January 19, 2021"
Nokia 5.4,2020-12-01,Monthly,Jan-24,Dec-20,00WW_1_130_SP01,SP Only (Android 10),,"January 18, 2021"
Nokia 9 Pureview,2021-01-01,Monthly,Mar-22,Jan-21,00RU_5_25A_SP08,SP Only (Android 10),,"January 18, 2021"
Nokia 9 Pureview,2021-01-01,Monthly,Mar-22,Jan-21,00WW_5_25A_SP08,SP Only (Android 10),,"January 18, 2021"
Nokia 7.2,2021-01-01,Monthly,Sep-22,Jan-21,00WW_2_390_SP02 ,SP Only (Android 10),,"January 18, 2021"
Nokia 6.2,2021-01-01,Monthly,Oct-22,Jan-21,00WW_2_390_SP02 ,SP Only (Android 10),,"January 18, 2021"
Nokia 3.1 Plus,2020-12-01,Monthly,Oct-21,Dec-20,00WW_3_15P_SP01,SP Only (Android 10),,"January 18, 2021"
Nokia C2,2021-01-01,Quarterly,Feb-22,Jan-21,00WW_1_120,MR Update and SP (Pie 9 GO),,"January 18, 2021"
Nokia 8.1,2021-01-01,Monthly,Dec-21,Jan-21,00WW_5_30B_SP10,SP Only (Android 10),,"January 14, 2021"
Nokia 8.1,2021-01-01,Monthly,Dec-21,Jan-21,00WW_4_30B_SP10,SP Only (Android 10),,"January 14, 2021"
Nokia 1.3,2020-12-01,Monthly,Jun-23,Dec-20,00WW_1_180_SP02,SP Only (Android 10 GO),Monthly to Quarterly SPs after Jun-22,"January 14, 2021"
Nokia 8.3 5G,2021-01-01,Monthly,Nov-23,Jan-21,00WW_1_150,MR Update and SP (Android 10),,"January 11, 2021"
Nokia 5.3,2020-12-01,Monthly,Jun-23,Dec-20,00WW_1_290_SP03,SP Only (Android 10),,"January 11, 2021"
Nokia 3.1,2020-12-01,Monthly,Jul-21,Dec-20,00WW_4_160_SP03,SP Only (Android 10),,"January 11, 2021"
Nokia 5.1,2020-12-01,Monthly,Aug-21,Dec-20,00WW_4_160_SP03,SP Only (Android 10),,"January 11, 2021"
Nokia 2.3,2020-12-01,Monthly,Dec-22,Dec-20,00WW_2_340_SP01,SP Only (Android 10),,"January 11, 2021"
Nokia 2.2,2020-12-01,Monthly,Jun-22,Dec-20,00WW_2_420_SP01,SP Only (Android 10),,"January 11, 2021"
Nokia 2.2,2020-12-01,Monthly,Jun-22,Dec-20,00WW_2_400_SP04,SP Only (Android 10),,"January 11, 2021"
Nokia 5.1 Plus,2020-12-01,Monthly,Oct-21,Dec-20,00WW_3_260_SP02,SP Only (Android 10),,"January 11, 2021"
Nokia 1 Plus,2020-12-01,Monthly,Feb-22,Dec-20,00WW_2_140_SP03,SP Only (Android 10 GO),Monthly to Quarterly SPs after Feb-21,"January 11, 2021"
Nokia 7.1,2020-12-01,Monthly,Nov-21,Dec-20,00WW_4 _16B_SP02,SP Only (Android 10),,"December 24, 2020"
Nokia 7 Plus,2020-12-01,Monthly,Apr-21,Dec-20,00WW_4 _16B_SP02,SP Only (Android 10),,"December 24, 2020"
Nokia 6.1,2020-12-01,Monthly,Apr-21,Dec-20,00WW_4 _16B_SP02,SP Only (Android 10),,"December 24, 2020"
Nokia C3,2020-12-01,Quarterly,Nov-22,Dec-20,00WW_1_160,MR Update and SP (Android 10),,"December 23, 2020"
Nokia 3.1 Plus,2020-11-01,Monthly,Oct-21,Nov-20,00WW_3_15P,MR Update and SP (Android 10),,"December 23, 2020"
Nokia 6.1,2020-12-01,Monthly,Apr-21,Dec-20,00WW_4 _15C_SP07,SP Only (Android 10),,"December 22, 2020"
Nokia 7 Plus,2020-12-01,Monthly,Apr-21,Dec-20,00WW_4 _15D_SP07,SP Only (Android 10),,"December 22, 2020"
Nokia 6.1 Plus,2020-12-01,Monthly,Aug-21,Dec-20,00WW_4 _15C_SP07,SP Only (Android 10),,"December 22, 2020"
Nokia 7.1,2020-12-01,Monthly,Nov-21,Dec-20,00WW_4 _15C_SP07,SP Only (Android 10),,"December 22, 2020"
Nokia 4.2,2020-12-01,Monthly,Apr-22,Dec-20,00WW_2_330_SP05,SP Only (Android 10),,"December 22, 2020"
Nokia 3.1,2020-12-01,Monthly,Jul-21,Dec-20,00WW_3_25B_SP16,SP Only (Pie 9),,"December 22, 2020"
Nokia 5.1,2020-12-01,Monthly,Aug-21,Dec-20,00WW_3_25B_SP16,SP Only (Pie 9),,"December 22, 2020"
Nokia 3.2,2020-12-01,Monthly,Apr-22,Dec-20,00WW_2_310_SP06,SP Only (Android 10),,"December 22, 2020"
Nokia 3.4,2020-11-01,Monthly,Nov-23,Nov-20,00WW_1_260,MR Update and SP (Android 10),,"December 22, 2020"
Nokia 8.3 5G,2020-12-01,Monthly,Nov-23,Dec-20,00WW_1_140_SP01,SP Only (Android 10),,"December 21, 2020"
Nokia 6.2,2020-12-01,Monthly,Oct-22,Dec-20,00WW_2_390_SP01,SP Only (Android 10),,"December 21, 2020"
Nokia 9 Pureview,2020-12-01,Monthly,Mar-22,Dec-20,00WW_5_26A_SP02,SP Only (Android 10),,"December 21, 2020"
Nokia 9 Pureview,2020-12-01,Monthly,Mar-22,Dec-20,00RU_5_25A_SP07,SP Only (Android 10),,"December 21, 2020"
Nokia 9 Pureview,2020-12-01,Monthly,Mar-22,Dec-20,00WW_5_25A_SP07,SP Only (Android 10),,"December 21, 2020"
Nokia 8.1,2020-12-01,Monthly,Dec-21,Dec-20,00WW_4_31A_SP02,SP Only (Android 10),,"December 21, 2020"
Nokia C1 Plus,2020-11-01,Quarterly,Jan-23,Nov-20,00WW_1_130,MR Update and SP (Android 10 GO),,"December 17, 2020"
Nokia 8 Sirocco,2020-12-01,Monthly,May-21,Dec-20,00WW_5_140_SP05,SP Only (Android 10),,"December 15, 2020"
Nokia 8.1,2020-12-01,Monthly,Dec-21,Dec-20,00WW_5_30B_SP09,SP Only (Android 10),,"December 14, 2020"
Nokia 8.1,2020-12-01,Monthly,Dec-21,Dec-20,00WW_4_30B_SP09,SP Only (Android 10),,"December 14, 2020"
Nokia 7.2,2020-12-01,Monthly,Sep-22,Dec-20,00WW_2_390_SP01,SP Only (Android 10),,"December 14, 2020"
Nokia 2.3,2020-11-01,Monthly,Dec-22,Nov-20,00WW_2_340,MR Update and SP (Android 10),,"December 14, 2020"
Nokia 8.3 5G,2020-12-01,Monthly,Nov-23,Dec-20,00WW_1_110_SP03,SP Only (Android 10),,"December 14, 2020"
Nokia 2.4,2020-12-01,Monthly,Oct-23,Dec-20,00WW_1_130,MR Update and SP (Android 10),,"December 14, 2020"
Nokia 2.2,2020-11-01,Monthly,Jun-22,Nov-20,00WW_2_420,MR Update and SP (Android 10),,"December 14, 2020"
Nokia 4.2,2020-11-01,Monthly,Apr-22,Nov-20,00WW_2_330_SP04,SP Only (Android 10),,"December 08, 2020"
Nokia 3.2,2020-11-01,Monthly,Apr-22,Nov-20,00WW_2_310_SP05,SP Only (Android 10),,"December 08, 2020"
Nokia 5.1 Plus,2020-11-01,Monthly,Oct-21,Nov-20,00WW_3_260_SP01,SP Only (Android 10),,"December 07, 2020"
Nokia 1 Plus,2020-11-01,Monthly,Feb-22,Nov-20,00WW_2_140_SP02,SP Only (Android 10 GO),Monthly to Quarterly SPs after Feb-21,"December 07, 2020"
