phone,androidBulletinDate,cadence,endOfLife,spVersion,screenId,comments,cadenceComments,dateOfFirstLiveRelease
Nokia 9 Pureview,2020-02-01,Monthly,Mar-22,Feb-20,00WW_4_27D_SP04,SP Only (Pie 9),,"February 24, 2020"
Nokia 3.1 Plus,2020-01-01,Monthly,Oct-21,Jan-20,00WW_2_25P_SP02,SP Only (Pie 9),,"February 21, 2020"
Nokia 3.1 Plus,2020-01-01,Monthly,Oct-21,Jan-20,00WW_2_25K_SP05,SP Only (Pie 9),,"February 21, 2020"
Nokia 1,2020-01-01,Monthly,Apr-21,Jan-20,00WW_2_200_SP01,SP Only (Pie 9 GO),Monthly to Quarterly SPs after Apr-20,"February 12, 2020"
Nokia 7.1,2020-01-01,Monthly,Nov-21,Jan-20,00WW_3_54H_SP06,SP Only (Pie 9),,"February 11, 2020"
Nokia 2.3,2020-01-01,Monthly,Dec-22,Jan-20,00WW_1_32A,MR Update and SP (Pie 9),,"February 10, 2020"
Nokia 7.2,2020-01-01,Monthly,Sep-22,Jan-20,00WW_1_270_SP03,SP Only (Pie 9),,"February 05, 2020"
Nokia 1,2019-12-01,Monthly,Apr-21,Dec-19,00WW_2_200,MR Update and SP (Pie 9 GO),Monthly to Quarterly SPs after Apr-20,"February 05, 2020"
Nokia 3,2020-01-01,Quarterly,Sep-20,Jan-20,00WW_5_220,MR Update and SP (Pie 9),,"February 05, 2020"
Nokia 8,2020-01-01,Quarterly,Oct-20,Jan-20,00WW_5_15G_SP01,SP Only (Pie 9),,"January 31, 2020"
Nokia 8 Sirocco,2020-01-01,Monthly,May-21,Jan-20,00WW_4_14F_SP05,SP Only (Pie 9),,"January 30, 2020"
Nokia 7 Plus,2020-01-01,Monthly,Apr-21,Jan-20,00WW_4_10C_SP01,SP Only (Android 10),,"January 29, 2020"
Nokia 6.1 Plus,2020-01-01,Monthly,Aug-21,Jan-20,00WW_4_10C_SP01,SP Only (Android 10),,"January 29, 2020"
Nokia 6.1,2020-01-01,Monthly,Apr-21,Jan-20,00WW_4_10C_SP01,SP Only (Android 10),,"January 29, 2020"
Nokia 1 Plus,2020-01-01,Monthly,Feb-22,Jan-20,00WW_0_980_SP03,SP Only (Pie 9 GO),Monthly to Quarterly SPs after Feb-21,"January 29, 2020"
Nokia 9 Pureview,2020-01-01,Monthly,Mar-22,Jan-20,00WW_5_13D_SP02,SP Only (Android 10),,"January 28, 2020"
Nokia 7.1,2020-01-01,Monthly,Nov-21,Jan-20,00WW_4_08B_SP02,SP Only (Android 10),,"January 28, 2020"
Nokia 3.1,2020-01-01,Monthly,Jul-21,Jan-20,00WW_3_25B_SP05,SP Only (Pie 9),,"January 28, 2020"
Nokia 5.1,2020-01-01,Monthly,Aug-21,Jan-20,00WW_3_25B_SP05,SP Only (Pie 9),,"January 28, 2020"
Nokia 7.1,2019-12-01,Monthly,Nov-21,Dec-19,00WW_3_54H_SP05,SP Only (Pie 9),,"January 27, 2020"
Nokia 7.2,2020-01-01,Monthly,Sep-22,Jan-20,00WW_1_400,MR Update and SP (Pie 9),,"January 21, 2020"
Nokia 2.1,2020-01-01,Monthly,Aug-21,Jan-20,00WW_1_13F_SP05,SP Only (Pie 9 GO),Monthly to Quarterly SPs after Aug-20,"January 21, 2020"
Nokia 5.1 Plus,2020-01-01,Monthly,Oct-21,Jan-20,00WW_2_20A_SP05,SP Only (Pie 9),,"January 21, 2020"
Nokia 5,2020-01-01,Quarterly,Oct-20,Jan-20,00WW_6_19B_SP01,SP Only (Pie 9),,"January 21, 2020"
Nokia 6,2020-01-01,Quarterly,Oct-20,Jan-20,00WW_6_19B_SP01,SP Only (Pie 9),,"January 21, 2020"
Nokia 6.2,2020-01-01,Monthly,Oct-22,Jan-20,00WW_1_170,MR Update and SP (Pie 9),,"January 21, 2020"
Nokia 8.1,2020-01-01,Monthly,Dec-21,Jan-20,00WW_4_15B_SP04 / 00WW_5_15B_SP04,SP Only (Android 10),,"January 21, 2020"
Nokia 2.2,2020-01-01,Monthly,Jun-22,Jan-20,00WW_1_540_SP05 ,SP Only (Pie 9),,"January 21, 2020"
Nokia 2.2,2020-01-01,Monthly,Jun-22,Jan-20,00WW_1_680_SP03 ,SP Only (Pie 9),,"January 21, 2020"
Nokia 2.2,2020-01-01,Monthly,Jun-22,Jan-20,00WW_1_630_SP04,SP Only (Pie 9),,"January 21, 2020"
Nokia 3.2,2020-01-01,Monthly,Apr-22,Jan-20,00WW_1_41C_SP02 ,SP Only (Pie 9),,"January 14, 2020"
Nokia 7.2,2020-01-01,Monthly,Sep-22,Jan-20,00WW_1_390_SP01,SP Only (Pie 9),,"January 14, 2020"
Nokia 6.2,2020-01-01,Monthly,Oct-22,Jan-20,00WW_1_160_SP01,SP Only (Pie 9),,"January 14, 2020"
Nokia 6.2,2020-01-01,Monthly,Oct-22,Jan-20,00WW_1_110_SP03,SP Only (Pie 9),,"January 14, 2020"
Nokia 4.2,2020-01-01,Monthly,Apr-22,Jan-20,00EEA_1_41E_SP02,SP Only (Pie 9),,"January 14, 2020"
Nokia 4.2,2020-01-01,Monthly,Apr-22,Jan-20,00WW_1_41B_SP03,SP Only (Pie 9),,"January 14, 2020"
Nokia 2.3,2020-01-01,Monthly,Dec-22,Jan-20,00WW_1_240_SP01,SP Only (Pie 9),,"January 14, 2020"
Nokia 1 Plus,2019-12-01,Monthly,Feb-22,Dec-19,00WW_0_980_SP02,SP Only (Pie 9 GO),Monthly to Quarterly SPs after Feb-21,"January 13, 2020"
Nokia C1,2019-12-01,Quarterly,Dec-21,Dec-19,00WW_1_070,MR Update (Pie 9 GO),,"January 13, 2020"
Nokia 6.1,2019-12-01,Monthly,Apr-21,Dec-19,00WW_4_10C,MR Upgrade and SP (Android 10),,"January 08, 2020"
Nokia 7.2,2019-12-01,Monthly,Sep-22,Dec-19,00WW_1_270_SP02,SP Only (Pie 9),,"January 08, 2020"
Nokia 7 Plus,2019-12-01,Monthly,Apr-21,Dec-19,00WW_4_10C,MR Upgrade and SP (Android 10),,"January 07, 2020"
Nokia 6.1 Plus,2019-12-01,Monthly,Aug-21,Dec-19,00WW_4_10C,MR Upgrade and SP (Android 10),,"January 06, 2020"
Nokia 2.2,2019-12-01,Monthly,Jun-22,Dec-19,00WW_1_540_SP04,SP Only (Pie 9),,"December 31, 2019"
Nokia 7.1,2019-12-01,Monthly,Nov-21,Dec-19,00WW_4_08B_SP01 ,SP Only (Android 10),,"December 31, 2019"
Nokia 2.3,2019-12-01,Monthly,Dec-22,Dec-19,00WW_1_240,MR Update and SP (Pie 9),,"December 31, 2019"
Nokia 8.1,2019-12-01,Monthly,Dec-21,Dec-19,00WW_4_15B_SP03 / 00WW_5_15B_SP03,SP Only (Android 10),,"December 30, 2019"
Nokia 9 Pureview,2019-12-01,Monthly,Mar-22,Dec-19,00WW_5_13D_SP01,SP Only (Android 10),,"December 30, 2019"
Nokia 3.1,2019-12-01,Monthly,Jul-21,Dec-19,00WW_3_25B_SP04,SP Only (Pie 9),,"December 30, 2019"
Nokia 5.1,2019-12-01,Monthly,Aug-21,Dec-19,00WW_3_25B_SP04,SP Only (Pie 9),,"December 30, 2019"
Nokia 2.2,2019-12-01,Monthly,Jun-22,Dec-19,00WW_1_680_SP02,SP Only (Pie 9),,"December 24, 2019"
Nokia 6.2,2019-12-01,Monthly,Oct-22,Dec-19,00WW_1_160,MR Update and SP (Pie 9),,"December 24, 2019"
Nokia 7.2,2019-12-01,Monthly,Sep-22,Dec-19,00WW_1_390,MR Update and SP (Pie 9),,"December 23, 2019"
Nokia 3.1 Plus,2019-12-01,Monthly,Oct-21,Dec-19,00WW_2_25P_SP01,SP Only (Pie 9),,"December 23, 2019"
Nokia 3.1 Plus,2019-12-01,Monthly,Oct-21,Dec-19,00WW_2_25K_SP04,SP Only (Pie 9),,"December 23, 2019"
Nokia 5.1 Plus,2019-12-01,Monthly,Oct-21,Dec-19,00WW_2_20A_SP04,SP Only (Pie 9),,"December 19, 2019"
Nokia 8 Sirocco,2019-12-01,Monthly,May-21,Dec-19,00WW_4_14F_SP04,SP Only (Pie 9),,"December 19, 2019"
Nokia 6.2,2019-12-01,Monthly,Oct-22,Dec-19,00WW_1_110_SP02,SP Only (Pie 9),,"December 17, 2019"
Nokia 2.1,2019-12-01,Monthly,Aug-21,Dec-19,00WW_1_13F_SP04,SP Only (Pie 9 GO),Monthly to Quarterly SPs after Aug-20,"December 17, 2019"
Nokia 2.3,2019-12-01,Monthly,Dec-22,Dec-19,00WW_1_11A_SP01,SP Only (Pie 9),,"December 17, 2019"
Nokia 3.2,2019-12-01,Monthly,Apr-22,Dec-19,00WW_1_41C_SP01 ,SP Only (Pie 9),,"December 17, 2019"
Nokia 4.2,2019-12-01,Monthly,Apr-22,Dec-19,00WW_1_41E_SP01,SP Only (Pie 9),,"December 17, 2019"
Nokia 4.2,2019-12-01,Monthly,Apr-22,Dec-19,00WW_1_41B_SP02,SP Only (Pie 9),,"December 17, 2019"
Nokia 2.2,2019-12-01,Monthly,Jun-22,Dec-19,00WW_1_630_SP03,SP Only (Pie 9),,"December 17, 2019"
Nokia 7.2,2019-12-01,Monthly,Sep-22,Dec-19,00WW_1_200_SP02,SP Only (Pie 9),,"December 16, 2019"
Nokia 8.1,2019-11-01,Monthly,Dec-21,Nov-19,00WW_V4_15B_SP02 / 00WW_V5_15B_SP02,SP Only (Android 10),,"December 13, 2019"
Nokia 7.2,2019-11-01,Monthly,Sep-22,Nov-19,00WW_1_270_SP01,SP Only (Pie 9),,"December 10, 2019"
Nokia 7.1,2019-11-01,Monthly,Nov-21,Nov-19,00WW_4_08B,MR Upgrade (Android 10),,"December 10, 2019"
Nokia 6.2,2019-12-01,Monthly,Oct-22,Dec-19,00WW_1_060_SP02 ,SP Only (Pie 9),,"December 10, 2019"
Nokia 9 Pureview,2019-11-01,Monthly,Mar-22,Nov-19,00WW_5_13D,MR Upgrade (Android 10),,"December 05, 2019"
Nokia 3.2,2019-11-01,Monthly,Apr-22,Nov-19,00WW_1_41C,MR Update and SP (Pie 9),,"December 03, 2019"
Nokia 2.2,2019-11-01,Monthly,Jun-22,Nov-19,00WW_1_680_SP01,SP Only (Pie 9),,"December 03, 2019"
Nokia 4.2,2019-11-01,Monthly,Apr-22,Nov-19,00WW_1_41E,MR Update and SP (Pie 9),,"December 02, 2019"
Nokia 2,2019-11-01,Final guaranteed Security Patch Update,Nov-19,Nov-19,00WW_0_680_SP12,SP Only (Nougat),,"November 29, 2019"
Nokia 5.1 Plus,2019-11-01,Monthly,Oct-21,Nov-19,00WW_2_20A_SP03,SP Only (Pie 9),,"November 26, 2019"
Nokia 4.2,2019-11-01,Monthly,Apr-22,Nov-19,00WW_1_41B_SP01,SP Only (Pie 9),,"November 26, 2019"
Nokia 3.1 Plus,2019-11-01,Monthly,Oct-21,Nov-19,00WW_2_25P,MR Update and SP (Pie 9),,"November 22, 2019"
Nokia 1,2019-11-01,Monthly,Apr-21,Nov-19,00WW_2_180_SP01,SP Only (Pie 9 GO),Monthly to Quarterly SPs after Apr-20,"November 22, 2019"
Nokia 1,2019-11-01,Monthly,Apr-21,Nov-19,00WW_2_130_SP04,SP Only (Pie 9 GO),Monthly to Quarterly SPs after Apr-20,"November 22, 2019"
Nokia 7.2,2019-11-01,Monthly,Sep-22,Nov-19,00WW_1_200_SP01,SP Only (Pie 9),,"November 22, 2019"
Nokia 6.2,2019-11-01,Monthly,Oct-22,Nov-19,00WW_1_110_SP01,SP Only (Pie 9),,"November 21, 2019"
Nokia 6.2,2019-11-01,Monthly,Oct-22,Nov-19,00WW_1_060_SP01,SP Only (Pie 9),,"November 21, 2019"
Nokia 5.1,2019-11-01,Monthly,Aug-21,Nov-19,00WW_3_25B_SP03,SP Only (Pie 9),,"November 21, 2019"
Nokia 3.1,2019-11-01,Monthly,Jul-21,Nov-19,00WW_3_25B_SP03,SP Only (Pie 9),,"November 21, 2019"
Nokia 2.2,2019-11-01,Monthly,Jun-22,Nov-19,00WW_1_630_SP02,SP Only (Pie 9),,"November 19, 2019"
Nokia 1 Plus,2019-11-01,Monthly,Feb-22,Nov-19,00WW_0_980_SP01,SP Only (Pie 9 GO),Monthly to Quarterly SPs after Feb-21,"November 19, 2019"
Nokia 8 Sirocco,2019-11-01,Monthly,May-21,Nov-19,00WW_4_14F_SP03,SP Only (Pie 9),,"November 18, 2019"
Nokia 6.1 Plus,2019-11-01,Monthly,Aug-21,Nov-19,00WW_3_54H_SP04,SP Only (Pie 9),,"November 18, 2019"
Nokia 7 Plus,2019-11-01,Monthly,Apr-21,Nov-19,00WW_3_54H_SP04,SP Only (Pie 9),,"November 18, 2019"
Nokia 7.1,2019-11-01,Monthly,Nov-21,Nov-19,00WW_3_54H_SP04,SP Only (Pie 9),,"November 18, 2019"
Nokia 6.1,2019-11-01,Monthly,Apr-21,Nov-19,00WW_3_54I_SP03,SP Only (Pie 9),,"November 18, 2019"
Nokia 6.1,2019-11-01,Monthly,Apr-21,Nov-19,00WW_3_54H_SP04,SP Only (Pie 9),,"November 18, 2019"
Nokia 2.1,2019-11-01,Monthly,Aug-21,Nov-19,00WW_1_13F_SP03,SP Only (Pie 9 GO),Monthly to Quarterly SPs after Aug-20,"November 18, 2019"
Nokia 3.1 Plus,2019-11-01,Monthly,Oct-21,Nov-19,00WW_2_25K_SP03,SP Only (Pie 9),,"November 12, 2019"
Nokia 9 Pureview,2019-11-01,Monthly,Mar-22,Nov-19,00WW_4_27D_SP03,SP Only (Pie 9),,"November 12, 2019"
Nokia 2.2,2019-10-01,Monthly,Jun-22,Oct-19,00WW_1_540_SP03,SP Only (Pie 9),,"November 07, 2019"
Nokia 8.1,2019-10-01,Monthly,Dec-21,Oct-19,00WW_V4_15B_SP01 / 00WW_V5_15B_SP01,SP Only (Android 10),,"November 06, 2019"
Nokia 6.2,2019-10-01,Monthly,Oct-22,Oct-19,00WW_1_110,MR Update and SP (Pie 9),,"November 05, 2019"
Nokia 2.2,2019-10-01,Monthly,Jun-22,Oct-19,00WW_1_680,MR Update and SP (Pie 9),,"November 05, 2019"
Nokia 3,2019-10-01,Quarterly,Sep-20,Oct-19,00WW_5_180,MR Update and SP (Pie 9),,"November 05, 2019"
Nokia 1 Plus,2019-10-01,Monthly,Feb-22,Oct-19,00WW_0_980,MR Update and SP (Pie 9 GO),Monthly to Quarterly SPs after Feb-21,"October 29, 2019"
Nokia 2.2,2019-10-01,Monthly,Jun-22,Oct-19,00WW_1_630_SP01,SP Only (Pie 9),,"October 29, 2019"
Nokia 3.2,2019-10-01,Monthly,Apr-22,Oct-19,00WW_1_41B,MR Update and SP (Pie 9),,"October 29, 2019"
Nokia 7.2,2019-10-01,Monthly,Sep-22,Oct-19,00WW_1_270,MR Update and SP (Pie 9),,"October 28, 2019"
Nokia 8.1,2019-10-01,Monthly,Dec-21,Oct-19,00WW_2_59J_SP03,SP Only (Pie 9),,"October 28, 2019"
Nokia 8,2019-10-01,Monthly,Oct-20,Oct-19,00WW_5_15G,MR Update and SP (Pie 9),Monthly to Quarterly SPs after Oct-19,"October 24, 2019"
Nokia 4.2,2019-10-01,Monthly,Apr-22,Oct-19,00WW_1_41B,MR Update and SP (Pie 9),,"October 23, 2019"
Nokia 5,2019-10-01,Monthly,Oct-20,Oct-19,00WW_6_19B,MR Update and SP (Pie 9),Monthly to Quarterly SPs after Oct-19,"October 22, 2019"
Nokia 6,2019-10-01,Monthly,Oct-20,Oct-19,00WW_6_19B,MR Update and SP (Pie 9),Monthly to Quarterly SPs after Oct-19,"October 22, 2019"
Nokia 1,2019-10-01,Monthly,Apr-21,Oct-19,00WW_2_180,MR Update and SP (Pie 9 GO),Monthly to Quarterly SPs after Apr-20,"October 22, 2019"
Nokia 2,2019-10-01,Monthly,Nov-19,Oct-19,00WW_0_680_SP11,SP Only (Nougat),,"October 22, 2019"
Nokia 3.1,2019-10-01,Monthly,Jul-21,Oct-19,00WW_3_25B_SP02,SP Only (Pie 9),,"October 15, 2019"
Nokia 5.1 Plus,2019-10-01,Monthly,Oct-21,Oct-19,00WW_2_20A_SP02,SP Only (Pie 9),,"October 15, 2019"
Nokia 5.1,2019-10-01,Monthly,Aug-21,Oct-19,00WW_3_25B_SP02,SP Only (Pie 9),,"October 15, 2019"
Nokia 3.1 Plus,2019-10-01,Monthly,Oct-21,Oct-19,00WW_2_25K_SP02,SP Only (Pie 9),,"October 15, 2019"
Nokia 9 Pureview,2019-10-01,Monthly,Mar-22,Oct-19,00WW_4_27D_SP02,SP Only (Pie 9),,"October 09, 2019"
Nokia 7 Plus,2019-10-01,Monthly,Apr-21,Oct-19,00WW_3_54H_SP03,SP Only (Pie 9),,"October 09, 2019"
Nokia 6.1 Plus,2019-10-01,Monthly,Aug-21,Oct-19,00WW_3_54H_SP03,SP Only (Pie 9),,"October 09, 2019"
Nokia 6.1,2019-10-01,Monthly,Apr-21,Oct-19,00WW_3_54I_SP02,SP Only (Pie 9),,"October 09, 2019"
Nokia 6.1,2019-10-01,Monthly,Apr-21,Oct-19,00WW_3_54H_SP03,SP Only (Pie 9),,"October 09, 2019"
Nokia 7.1,2019-10-01,Monthly,Nov-21,Oct-19,00WW_3_54H_SP03,SP Only (Pie 9),,"October 09, 2019"
Nokia 2.1,2019-10-01,Monthly,Aug-21,Oct-19,00WW_1_13F_SP02,SP Only (Pie 9 GO),Monthly to Quarterly SPs after Aug-20,"October 09, 2019"
Nokia 8 Sirocco,2019-10-01,Monthly,May-21,Oct-19,00WW_4_14F_SP02,SP Only (Pie 9),,"October 09, 2019"
Nokia 8.1,2019-09-01,Monthly,Dec-21,Sep-19,00WW_V4_15B / 00WW_V5_15B,MR Upgrade (Android 10),,"October 09, 2019"
Nokia 2.2,2019-09-01,Monthly,Jun-22,Sep-19,00WW_1_540_SP02,SP Only (Pie 9),,"October 09, 2019"
Nokia 1,2019-09-01,Monthly,Apr-21,Sep-19,00WW_2_130_SP03,SP Only (Pie 9 GO),Monthly to Quarterly SPs after Apr-20,"October 02, 2019"
Nokia 3,2019-09-01,Monthly,Sep-20,Sep-19,00WW_5_120_SP04,SP Only (Pie 9),Monthly to Quarterly SPs after Sep-19,"October 01, 2019"
Nokia 8,2019-09-01,Monthly,Oct-20,Sep-19,00WW_5_15D_SP02,SP Only (Pie 9),Monthly to Quarterly SPs after Oct-19,"September 30, 2019"
Nokia 5,2019-09-01,Monthly,Oct-20,Sep-19,00WW_6_18A_SP03,SP Only (Pie 9),Monthly to Quarterly SPs after Oct-19,"September 30, 2019"
Nokia 2,2019-09-01,Monthly,Nov-19,Sep-19,00WW_0_680_SP10,SP Only (Nougat),,"September 30, 2019"
Nokia 6,2019-09-01,Final guaranteed Security Patch Update,Sep-19,Sep-19,00A0_6_17D_SP05 / 00S0_6_17D_SP05,SP Only - Amazon US/India (Pie 9),,"September 30, 2019"
Nokia 6,2019-09-01,Monthly,Oct-20,Sep-19,00WW_6_17D_SP05,SP Only (Pie 9),Monthly to Quarterly SPs after Oct-19,"September 30, 2019"
Nokia 1 Plus,2019-09-01,Monthly,Feb-22,Sep-19,00WW_0_960_SP02,SP Only (Pie 9 GO),Monthly to Quarterly SPs after Feb-21,"September 30, 2019"
Nokia 1 Plus,2019-09-01,Monthly,Feb-22,Sep-19,00WW_0_750_SP03,SP Only (Pie 9 GO),Monthly to Quarterly SPs after Feb-21,"September 30, 2019"
Nokia 3.1,2019-09-01,Monthly,Jul-21,Sep-19,00WW_3_25B_SP01,SP Only (Pie 9),,"September 25, 2019"
Nokia 5.1,2019-09-01,Monthly,Aug-21,Sep-19,00WW_3_25B_SP01,SP Only (Pie 9),,"September 25, 2019"
Nokia 7.2,2019-09-01,Monthly,Sep-22,Sep-19,00WW_1_200,MR Update and SP (Pie 9),,"September 24, 2019"
Nokia 6.1,2019-09-01,Monthly,Apr-21,Sep-19,00WW_3_54I_SP01,SP Only (Pie 9),,"September 24, 2019"
Nokia 6.1,2019-09-01,Monthly,Apr-21,Sep-19,00WW_3_54H_SP02,SP Only (Pie 9),,"September 24, 2019"
Nokia 7 Plus,2019-09-01,Monthly,Apr-21,Sep-19,00WW_3_54H_SP02,SP Only (Pie 9),,"September 24, 2019"
Nokia 7.1,2019-09-01,Monthly,Nov-21,Sep-19,00WW_3_54H_SP02,SP Only (Pie 9),,"September 24, 2019"
Nokia 6.1 Plus,2019-09-01,Monthly,Aug-21,Sep-19,00WW_3_54H_SP02,SP Only (Pie 9),,"September 24, 2019"
Nokia 5.1 Plus,2019-09-01,Monthly,Oct-21,Sep-19,00WW_2_20A_SP01,SP Only (Pie 9),,"September 24, 2019"
Nokia 7.2,2019-08-01,Monthly,Sep-22,Aug-19,00WW_1_160,MR Update and SP (Pie 9),,"September 19, 2019"
Nokia 3.1 Plus,2019-09-01,Monthly,Oct-21,Sep-19,00WW_2_25K_SP01,SP Only (Pie 9),,"September 18, 2019"
Nokia 2.1,2019-09-01,Monthly,Aug-21,Sep-19,00WW_1_13F_SP01,SP Only (Pie 9 GO),Monthly to Quarterly SPs after Aug-20,"September 18, 2019"
Nokia 8 Sirocco,2019-09-01,Monthly,May-21,Sep-19,00WW_4_14F_SP01,SP Only (Pie 9),,"September 16, 2019"
Nokia 9 Pureview,2019-09-01,Monthly,Mar-22,Sep-19,00WW_4_27D_SP01,SP Only (Pie 9),,"September 16, 2019"
Nokia 7.2,2019-08-01,Monthly,Sep-22,Aug-19,00WW_1_130,MR Update and SP (Pie 9),,"September 13, 2019"
Nokia 2.2,2019-09-01,Monthly,Jun-22,Sep-19,00WW_1_630,MR Update and SP (Pie 9),,"September 13, 2019"
Nokia 8.1,2019-09-01,Monthly,Dec-21,Sep-19,00WW_3_02I_SP02,SP Only (Pie 9),,"September 11, 2019"
Nokia 8.1,2019-09-01,Monthly,Dec-21,Sep-19,00WW_2_59J_SP02,SP Only (Pie 9),,"September 11, 2019"
Nokia 3.2,2019-09-01,Monthly,Apr-22,Sep-19,00WW_1_39D_SP02,SP Only (Pie 9),,"September 10, 2019"
Nokia 3.2,2019-09-01,Monthly,Apr-22,Sep-19,00WW_1_03J_SP02,SP Only (Pie 9),,"September 10, 2019"
Nokia 4.2,2019-09-01,Monthly,Apr-22,Sep-19,00WW_1_36B_SP02,SP Only (Pie 9),,"September 10, 2019"
Nokia 4.2,2019-09-01,Monthly,Apr-22,Sep-19,00WW_1_17I_SP04,SP Only (Pie 9),,"September 10, 2019"
Nokia 2.2,2019-08-01,Monthly,Jun-22,Aug-19,00WW_1_540_SP01 ,SP Only (Pie 9),,"August 29, 2019"
Nokia 3.1 Plus,2019-08-01,Monthly,Oct-21,Aug-19,00WW_2_25K,MR Update and SP (Pie 9),,"August 28, 2019"
Nokia 5.1 Plus,2019-08-01,Monthly,Oct-21,Aug-19,00WW_2_20A,MR Update and SP (Pie 9),,"August 27, 2019"
Nokia 4.2,2019-08-01,Monthly,Apr-22,Aug-19,00WW_1_17I_SP03,SP Only (Pie 9),,"August 27, 2019"
Nokia 3.2,2019-08-01,Monthly,Apr-22,Aug-19,00WW_1_03J_SP01,SP Only (Pie 9),,"August 27, 2019"
Nokia 2.2,2019-08-01,Monthly,Jun-22,Aug-19,00WW_1_390_SP02 ,SP Only (Pie 9),,"August 27, 2019"
Nokia 2.2,2019-08-01,Monthly,Jun-22,Aug-19,00WW_1_280_SP03 ,SP Only (Pie 9),,"August 27, 2019"
Nokia 1 Plus,2019-08-01,Monthly,Feb-22,Aug-19,00WW_0_960_SP01,SP Only (Pie 9 GO),Monthly to Quarterly SPs after Feb-21,"August 26, 2019"
Nokia 1 Plus,2019-08-01,Monthly,Feb-22,Aug-19,00WW_0_750_SP02,SP Only (Pie 9 GO),Monthly to Quarterly SPs after Feb-21,"August 26, 2019"
Nokia 4.2,2019-08-01,Monthly,Apr-22,Aug-19,00WW_1_36B_SP01,SP Only (Pie 9),,"August 21, 2019"
Nokia 6,2019-08-01,Monthly,Sep-19,Aug-19,00A0_6_17D_SP04 / 00S0_6_17D_SP04,SP Only - Amazon US/India (Pie 9),,"August 21, 2019"
Nokia 6,2019-08-01,Monthly,Oct-20,Aug-19,00WW_6_17D_SP04,SP Only (Pie 9),Monthly to Quarterly SPs after Oct-19,"August 21, 2019"
Nokia 3.2,2019-08-01,Monthly,Apr-22,Aug-19,00WW_1_39D_SP01,SP Only (Pie 9),,"August 21, 2019"
Nokia 5,2019-08-01,Monthly,Oct-20,Aug-19,00WW_6_18A_SP02,SP Only (Pie 9),Monthly to Quarterly SPs after Oct-19,"August 21, 2019"
Nokia 8 Sirocco,2019-08-01,Monthly,May-21,Aug-19,00WW_4_14F,MR Update and SP (Pie 9),,"August 20, 2019"
Nokia 2.1,2019-08-01,Monthly,Aug-21,Aug-19,00WW_1_13F,MR Update and SP (Pie 9 GO),Monthly to Quarterly SPs after Aug-20,"August 20, 2019"
Nokia 3.1,2019-08-01,Monthly,Jul-21,Aug-19,00WW_3_25B,MR Update and SP (Pie 9),,"August 20, 2019"
Nokia 5.1,2019-08-01,Monthly,Aug-21,Aug-19,00WW_3_25B,MR Update and SP (Pie 9),,"August 20, 2019"
Nokia 8,2019-08-01,Monthly,Oct-20,Aug-19,00WW_5_15D_SP01,SP Only (Pie 9),Monthly to Quarterly SPs after Oct-19,"August 20, 2019"
Nokia 2,2019-08-01,Monthly,Nov-19,Aug-19,00WW_0_680_SP09,SP Only (Nougat),,"August 19, 2019"
Nokia 8.1,2019-08-01,Monthly,Dec-21,Aug-19,00WW_3_02I_SP01,SP Only (Pie 9),,"August 14, 2019"
Nokia 8.1,2019-08-01,Monthly,Dec-21,Aug-19,00WW_2_59J_SP01,SP Only (Pie 9),,"August 14, 2019"
Nokia 9 Pureview,2019-08-01,Monthly,Mar-22,Aug-19,00WW_4_27D,MR Update and SP (Pie 9),,"August 14, 2019"
Nokia 7 Plus,2019-08-01,Monthly,Apr-21,Aug-19,00WW_3_54H_SP01,SP Only (Pie 9),,"August 14, 2019"
Nokia 6.1 Plus,2019-08-01,Monthly,Aug-21,Aug-19,00WW_3_54H_SP01,SP Only (Pie 9),,"August 14, 2019"
Nokia 7.1,2019-08-01,Monthly,Nov-21,Aug-19,00WW_3_54H_SP01,SP Only (Pie 9),,"August 14, 2019"
Nokia 6.1,2019-08-01,Monthly,Apr-21,Aug-19,00WW_3_54H_SP01,SP Only (Pie 9),,"August 14, 2019"
Nokia 2.2,2019-07-01,Monthly,Jun-22,Jul-19,00WW_1_540,MR Update and SP (Pie 9),,"August 13, 2019"
Nokia 6.1,2019-08-01,Monthly,Apr-21,Aug-19,00WW_3_54I,MR Update and SP (Pie 9),,"August 07, 2019"
Nokia 3.2,2019-07-01,Monthly,Apr-22,Jul-19,00WW_1_39D,MR Update and SP (Pie 9),,"August 06, 2019"
Nokia 5.1,2019-07-01,Monthly,Aug-21,Jul-19,00WW_3_24A_SP02,SP Only (Pie 9),,"July 31, 2019"
Nokia 1 Plus,2019-07-01,Monthly,Feb-22,Jul-19,00WW_0_960,MR Update and SP (Pie 9 GO),Monthly to Quarterly SPs after Feb-21,"July 30, 2019"
Nokia 2.2,2019-07-01,Monthly,Jun-22,Jul-19,00WW_1_390_SP01,SP Only (Pie 9),,"July 30, 2019"
Nokia 2.2,2019-07-01,Monthly,Jun-22,Jul-19,00WW_1_280_SP02,SP Only (Pie 9),,"July 30, 2019"
Nokia 3.1,2019-07-01,Monthly,Jul-21,Jul-19,00WW_3_180_SP04,SP Only (Pie 9),,"July 30, 2019"
Nokia 5.1,2019-07-01,Monthly,Aug-21,Jul-19,00WW_3_190_SP04,SP Only (Pie 9),,"July 30, 2019"
Nokia 4.2,2019-07-01,Monthly,Apr-22,Jul-19,00WW_1_36B,MR Update and SP (Pie 9),,"July 30, 2019"
