device_slug,source_url,filename,file_size,brand,device_name,model_code,chipset,build,market,date_token
tecno-camon-18-premier-ch9,https://naijarom.com/tecno-camon-18-premier-ch9,Tecno_Camon_18_Premier_CH9_MT6781_V849_220121.zip,,,,,,,,
tecno-camon-18-premier-ch9n,https://naijarom.com/tecno-camon-18-premier-ch9n,Tecno_Camon_18_Premier_CH9N_MT6781_V431_210911.zip,,,,,,,,
tecno-camon-18-premier-ch9n,https://naijarom.com/tecno-camon-18-premier-ch9n,Tecno_Camon_18_Premier_CH9N_MT6781_V678_211227.zip,,,,,,,,
tecno-camon-19-ci6,https://naijarom.com/tecno-camon-19-ci6,Tecno_Camon_19_CI6_MT6768_V850_240516.zip,,,,,,,,
tecno-camon-19-ci6n,https://naijarom.com/tecno-camon-19-ci6n,Tecno_Camon_19_CI6N_MT6768_RU_V2069_240516.zip,,,,,,,,
tecno-camon-19-cl6,https://naijarom.com/tecno-camon-19-cl6,Tecno_Camon_19_CL6_MT6789_RU_V1597_240423_MXML.zip,,,,,,,,
tecno-camon-19-cl6,https://naijarom.com/tecno-camon-19-cl6,Tecno_Camon_19_CL6_MT6789_TR_V1597_240423_MXML.zip,,,,,,,,
tecno-camon-19-cl6,https://naijarom.com/tecno-camon-19-cl6,Tecno_Camon_19_CL6_MT6789_PJ_V1607_240423_MXML.zip,,,,,,,,
tecno-camon-19-cl6,https://naijarom.com/tecno-camon-19-cl6,Tecno_Camon_19_CL6_MT6789_V1693_240423_MXML.zip,,,,,,,,
tecno-camon-19-cl6,https://naijarom.com/tecno-camon-19-cl6,Tecno_Camon_19_CL6_MT6789_RU_V1789_240527_MXML.zip,,,,,,,,
tecno-camon-19-cl6,https://naijarom.com/tecno-camon-19-cl6,Tecno_Camon_19_CL6_MT6789_OP_V1921_240619_MXML.zip,,,,,,,,
tecno-camon-19-cl6,https://naijarom.com/tecno-camon-19-cl6,Tecno_Camon_19_CL6_MT6789_TR_V1998_240702_MXML.zip,,,,,,,,
tecno-camon-19-cl6,https://naijarom.com/tecno-camon-19-cl6,Tecno_Camon_19_CL6_MT6789_15.0.3.127_OP001PF001AZ_270525_MXML.zip,,TECNO,Camon 19,CL6,MT6789,15.0.3.127,OP001PF001AZ,270525
